GEOID,pop,pop_dens,race_white,race_minority,female,age_genz,age_millenial,age_genx,age_boomer,age_retiree,divsep,widowed,median_age,not_us_citizen,median_earnings,trav_cars,trav_trans,trav_motorcycle,trav_bike,trav_walk,trav_home,edu_lowedu,edu_hsged,edu_bs,edu_grad,unemp,below_pov,City,Borough,Class,CasualtiesPerPop,CasualtiesPerPopDens,TotalInjuries,TotalDeaths,Collisions,CasualtiesCount
36081144700,2984,18650,406,2578,1581,594,590,915,674,211,275,219,43,671,35324,853,524,0,0,39,12,109,906,474,234,146,361,NYC,Queens,1,0.024463807,0.003914209,72,1,512,73
36081015900,3932,56171.42857,2234,1698,1984,574,1251,1233,579,295,476,168,35.7,803,39191,306,1706,0,10,141,36,113,1049,951,437,167,921,NYC,Queens,1,0.024415056,0.001709054,96,0,387,96
36081004500,3290,36555.56,1707,1583,1842,443,662,906,897,382,402,294,50.8,301,56844,278,1048,0,34,167,83,168,704,860,440,133,261,NYC,Queens,1,0.024316109,0.00218845,80,0,260,80
36081011800,2757,45950,349,2408,1315,729,871,667,421,69,122,50,31.8,755,26689,547,636,0,0,71,46,84,622,304,80,100,551,NYC,Queens,1,0.024301777,0.001458107,67,0,252,67
36081009400,2922,41742.86,208,2714,1448,663,709,948,527,75,124,135,37.4,665,25870,308,797,0,0,130,51,188,747,447,63,164,445,NYC,Queens,1,0.024298426,0.00170089,71,0,288,71
36081016100,2556,63900,833,1723,1234,456,893,688,397,122,168,109,33.2,694,32487,182,948,0,17,79,5,131,625,391,131,172,499,NYC,Queens,1,0.024256651,0.000970266,62,0,234,62
36081037600,6476,21586.66667,0,6476,3643,1519,1576,1781,1238,362,1040,340,37.9,633,38304,1850,1324,0,3,47,103,151,2212,535,468,385,362,NYC,Queens,1,0.02424336,0.007273008,157,0,378,157
36081038100,7583,68936.36364,75,7508,3570,1971,2467,2039,835,271,581,328,31,3439,20113,1001,2393,0,9,172,0,371,2218,325,74,315,1988,NYC,Queens,1,0.024132929,0.002654622,182,1,600,183
36081074900,1492,10657.14,1084,408,734,354,194,391,376,177,46,100,45.9,150,75515,249,242,6,2,63,53,13,140,376,356,36,29,NYC,Queens,1,0.024128686,0.003378017,36,0,203,36
36081005700,4084,45377.77778,1644,2440,1786,539,1627,1420,376,122,274,66,33,1080,33861,309,1793,0,52,230,30,116,951,944,447,274,993,NYC,Queens,1,0.023996082,0.002159647,98,0,361,98
36081079000,2799,27990,17,2782,1408,624,787,870,450,68,219,115,34.6,711,28142,572,686,0,0,60,0,199,888,293,84,116,546,NYC,Queens,1,0.02393712,0.002393712,67,0,233,67
