"GEOID","pop_dens","minority_dens","female_dens","genz_dens","millenial_dens","genx_dens","boomer_dens","retiree_dens","divsep_dens","widowed_dens","median_age","foreign_dens","median_earnings","cars_dens","trans_dens","mbike_dens","bike_dens","walk_dens","wfm_dens","lowedu_dens","hsged_dens","bs_dens","grad_dens","unemp_dens","pov_dens","City","Collisions","Casualties","PedeInjuries","PedeDeaths","TotalInjuries","TotalDeaths"
"36081010800",58400,56116.6666666667,29450,13816.6666666667,15666.6666666667,17933.3333333333,9250,1733.33333333333,3533.33333333333,3016.66666666667,34.4,12416.6666666667,23750,9766.66666666667,15250,0,233.333333333333,2083.33333333333,0,3166.66666666667,20766.6666666667,5583.33333333333,350,1950,7533.33333333333,"NYC",230,54,12,0,54,0
"36047055700",23236.3636363636,8600,11154.5454545455,2636.36363636364,8409.09090909091,8700,3063.63636363636,427.272727272727,1545.45454545455,300,35.5,2900,58857,2172.72727272727,10427.2727272727,227.272727272727,327.272727272727,1354.54545454545,1363.63636363636,445.454545454545,3909.09090909091,7300,4563.63636363636,972.727272727273,2590.90909090909,"NYC",468,86,14,0,86,0
"36081056200",28250,22066.6666666667,13233.3333333333,5266.66666666667,7783.33333333333,9683.33333333333,4550,966.666666666667,666.666666666667,1350,36.9,2550,27423,10583.3333333333,3683.33333333333,0,0,0,666.666666666667,983.333333333333,9083.33333333333,1533.33333333333,1150,950,3300,"NYC",41,15,0,0,15,0
"36085007400",18692,6716,9972,4096,3524,5584,4680,808,1724,848,41.1,2756,40532,4100,4044,0,0,332,444,744,4848,2912,1260,596,2688,"NYC",302,88,11,0,88,0
"36047027700",80533.3333333333,74583.3333333333,41383.3333333333,25300,23450,18183.3333333333,11250,2350,6466.66666666667,3500,29.4,3250,33125,4950,21183.3333333333,0,0,500,1000,1316.66666666667,19733.3333333333,6933.33333333333,3266.66666666667,6183.33333333333,29400,"NYC",261,120,30,0,120,0
"36081014700",53783.3333333333,17350,29583.3333333333,6233.33333333333,16950,16466.6666666667,10533.3333333333,3600,2633.33333333333,3250,38.5,5050,46025,10000,18050,0,383.333333333333,1566.66666666667,466.666666666667,3150,11850,11933.3333333333,7533.33333333333,2650,3283.33333333333,"NYC",244,44,17,0,44,0
"36081026100",79322.2222222222,73700,39888.8888888889,17533.3333333333,19711.1111111111,26644.4444444444,13411.1111111111,2022.22222222222,6566.66666666667,1977.77777777778,36.7,31166.6666666667,25996,6155.55555555556,23166.6666666667,0,0,3333.33333333333,566.666666666667,10622.2222222222,17288.8888888889,8333.33333333333,3244.44444444444,3233.33333333333,20533.3333333333,"NYC",396,92,23,0,91,1
"36047097000",42100,38683.3333333333,24116.6666666667,9000,10983.3333333333,13233.3333333333,7683.33333333333,1200,5633.33333333333,1233.33333333333,35.9,7033.33333333333,40348,8816.66666666667,12716.6666666667,0,0,500,283.333333333333,2133.33333333333,15000,3633.33333333333,1600,2283.33333333333,3833.33333333333,"NYC",239,81,12,0,81,0
"36047075200",13228.5714285714,385.714285714286,6942.85714285714,2871.42857142857,2885.71428571429,2028.57142857143,4614.28571428571,828.571428571428,142.857142857143,771.428571428571,46.1,300,42024,3814.28571428571,1757.14285714286,0,0,242.857142857143,285.714285714286,400,1528.57142857143,2728.57142857143,1957.14285714286,300,357.142857142857,"NYC",124,57,5,0,57,0
"36081122701",43092.5925925926,30222.2222222222,23585.1851851852,9444.44444444444,8881.48148148148,14225.9259259259,8081.48148148148,2459.25925925926,2781.48148148148,2514.81481481481,41.6,7162.96296296296,34661,11029.6296296296,7177.77777777778,59.2592592592593,0,874.074074074074,218.518518518519,2166.66666666667,13125.9259259259,3681.48148148148,3081.48148148148,2677.77777777778,5470.37037037037,"NYC",542,140,38,1,139,1
