"GEOID","crime_idx","spend_alc","spend_trans","biz_alc","biz_resto","biz_lib","biz_groc","biz_health","biz_hotel","biz_retail","fastfood_6mo","fastfood_freq","road_maxspeed","road_meanspeed","road_maxlength","road_minlength","road_meanlength","road_totlanes","road_maxlanes","road_trucks","road_iri","road_bumps","road_aadt","road_width","road_sumlength","road_pci","road_pavewidth","road_vc","road_q","pop","sqmi","City","Collisions","Casualties","PedeInjuries","PedeDeaths","TotalInjuries","TotalDeaths"
"36081016900",40,1516178,898139,1,5,0,4,2,0,12,4023,1566,11,4.04138403,0.3204551,0.01006543,0.23394087,0.77698122,0.92683227,0.68333306,NA,NA,1352.979793,NA,1.15183574,38.87269835,3.36904699,0.04844423,29.05340653,5491,0.09,"NYC",180,52,14,0,52,0
"36081099200",97,471626,497154,0,1,1,2,1,0,8,2232,704,10,6.10281852,0.47165818,0.21046834,0.38150668,0.54742689,0.81320377,NA,19.32504348,8.47996138,2100.070611,0.51967414,1.72869311,22.92827258,1.04377089,0.13897322,19.4516233,4075,0.23,"NYC",408,150,21,0,150,0
"36047084000",116,481435,354563,1,8,3,2,4,0,10,1781,744,7,4.0211622,0.28561717,0.00492882,0.20096825,0.41777179,0.67486856,0.17797345,14.65703197,7.07773027,1918.114533,NA,1.06808047,18.15781147,1.04442946,0.09869542,26.81947322,2396,0.07,"NYC",375,225,20,0,224,1
"36081051200",98,467592,281401,0,2,0,2,3,0,11,1815,740,17,7.15994557,0.6019321,0.0140999,0.38820938,1.1667218,1.92289851,1.78328023,59.8919796,60.41127422,4007.657947,NA,1.610112,49.64891351,3.20425253,0.2799429,26.77641853,2684,0.15,"NYC",304,98,15,1,97,1
"36047011700",88,1053632,509685,1,15,2,6,2,2,48,2229,840,25,12.99614485,0.29268629,0.0046811,0.2091347,1.00582869,2.00000179,1.0581966,101.0809906,8.3420745,10977.84256,NA,1.10689781,35.25645282,2.4827035,0.73713781,21.2679512,2688,0.08,"NYC",599,120,14,0,120,0
"36061011300",421,62608,22849,1,115,18,12,22,16,821,104,50,15,10.09935934,0.34220105,0.00817466,0.24878771,0.76358007,1.17020727,NA,35.31934219,12.41658758,3463.674567,NA,2.13415646,35.66346164,3.43617245,0.04900891,24.84465067,118,0.07,"NYC",1617,299,157,1,298,1
"36047001500",181,3289734,1933065,0,14,6,7,6,5,52,4865,1817,45,11.90467501,0.28363674,0.00673848,0.14387375,1.59688355,8.00000163,0.14853309,60.53725145,5.76445299,13354.16977,0.20715218,3.14467957,63.37751014,9.40800332,0.21622152,23.11389155,4457,0.12,"NYC",2538,432,80,1,430,2
"36081086900",194,353101,247861,1,51,14,14,44,14,169,1487,598,50,9.36567801,0.80473717,0.00111945,0.21814138,1.33529101,3.00000015,0.25354729,29.26528982,13.18232014,4470.418999,0.09331533,4.40309729,59.27444876,4.2536696,0.01572628,20.98428052,2207,0.22,"NYC",2210,412,80,3,408,4
"36061031100",513,0,0,0,0,0,2,0,0,2,0,0,50,14.8861161,0.75951922,0.0002229,0.30990088,2.22630215,6.00000498,0.2101297,60.42045754,5.64208147,17846.35862,0.99629485,7.42654365,68.73652657,8.4007915,0.05659779,24.45219434,2,0.28,"NYC",1094,247,12,1,245,2
"36047010000",58,666303,467715,0,16,2,7,5,0,37,4214,1694,12,1.72888589,0.29645176,0.03975142,0.2253614,0.41785776,0.95797508,NA,NA,NA,288.5002073,NA,1.08077855,23.91820645,2.03536983,0.01940997,29.146742,6886,0.06,"NYC",306,71,33,0,71,0
"36047004600",64,428485,103721,0,1,3,2,4,0,4,854,380,9,3.71758729,0.25120205,0.0011821,0.1971052,0.61054472,2.00000115,NA,5.58120155,1.98874281,1766.98039,0.09825937,1.43576742,23.72120405,1.7676307,0.04136214,25.32913059,1160,0.11,"NYC",175,50,11,0,50,0
"36047030800",61,421576,295928,0,4,2,4,1,1,10,1440,579,25,10.12944575,0.33413913,0.00117813,0.18628396,1.05759507,2.00000067,0.72562723,0.08147202,0.00177788,1636.609792,0.00193988,1.21045985,56.17798134,3.06090826,0.09873121,NA,NA,NA,"NYC",323,78,7,0,78,0
"36047006300",68,927416,449334,1,5,5,4,3,0,13,1390,518,24,2.69780969,0.47782692,0.00103039,0.28221428,0.56692076,0.96776721,NA,5.54573889,0.80217538,904.945485,NA,1.12932199,54.23970673,2.37530359,0.02331821,24.29159214,1766,0.04,"NYC",218,23,2,0,23,0
"36081155102",42,2509495,986650,1,19,6,4,57,0,44,6610,2801,50,17.47489219,0.67812507,0.00132808,0.29142483,1.57585958,3.99999686,NA,50.04216736,6.37554191,22054.34537,0.59227034,6.03644783,73.99094717,10.02399476,0.07077894,NA,8282,0.58,"NYC",905,246,26,0,245,1
"36047110400",151,651099,479513,0,34,11,15,11,2,98,2872,1201,30,8.15687671,0.61882581,0.00028798,0.35729416,1.60436374,4.00000002,0.2450563,34.07924272,3.75343809,7125.454337,0.19344908,3.32417709,40.81093452,9.21631784,0.15394113,22.44356443,4016,0.29,"NYC",2675,1074,133,4,1068,6
"36047066200",55,402218,97362,0,8,0,6,29,0,39,1146,510,7,3.9339427,0.20586443,0.01390532,0.17544432,0.50650939,0.59517195,1.66972927,37.53459447,6.45331624,2855.526587,NA,0.37010425,18.87215313,1.26627347,0.18833147,23.11218614,1492,0.09,"NYC",477,123,21,1,122,1
"36081084602",62,177349,80761,0,3,2,0,1,3,5,709,296,50,28.29662022,0.79,2.39e-05,0.28251216,2.66105764,6.00000213,1.77339861,119.1262904,21.6854482,42780.36084,0.79807302,8.94566465,55.70872294,20.00624066,0.0921196,19.70422459,1067,0.29,"NYC",2139,696,8,2,691,5
"36081095400",63,928601,683885,0,5,1,3,3,0,12,3716,1553,25,10.06019426,0.33404804,0.04,0.24710085,0.95686345,2.00000022,0,75.33614776,5.65481188,2141.971153,0.65996915,1.428572,34.27539469,2.09758706,0.14088834,NA,NA,NA,"NYC",328,101,24,0,101,0
"36061029900",184,370527,433342,0,8,5,5,1,0,18,2196,593,29,17.72391405,0.31519508,0.00023359,0.18246609,2.14816745,3.84255377,NA,206.3238168,35.93082533,17776.34345,3.66594246,1.07850657,27.16701388,11.7241834,0.03732607,21.66598009,3926,0.24,"NYC",832,178,43,0,178,0
"36061031703",242,8294287,4024298,1,40,13,7,6,2,79,5535,2044,35,24.8168742,0.05999999,7.23e-05,0.05308045,5.63322263,7.99999815,5.68118421,223.7038839,5.85801398,41653.87358,2.81851788,0.10924537,34.5052314,33.79919627,3.5e-07,25.38318419,8557,0.09,"NYC",893,183,50,0,182,1
"36081021900",477,0,0,0,4,0,9,0,0,33,0,0,25,15.27479348,0.48746712,0.00027686,0.25635197,1.39360892,2.00000263,0.15755967,17.68941908,11.67154721,3232.866603,0.11639066,3.69241098,66.94145176,4.25081822,0.03441801,19.22451173,7,0.54,"NYC",791,154,17,0,154,0
"36081012000",87,500311,351197,1,9,4,2,3,0,17,1747,703,4,1.85744095,0.31287265,0.00126793,0.22529499,0.24060647,0.32141472,NA,14.94969621,5.68042028,1319.260904,NA,0.81372216,9.32904144,0.69519199,0.06833692,27.77558045,2737,0.06,"NYC",236,58,14,1,57,1
"36047005602",32,631490,443278,1,3,1,1,16,1,8,1059,426,42,9.75219551,0.25424783,0.00035853,0.16189943,1.45535231,5.0849566,NA,44.88910059,3.75664069,9767.891246,0.64676089,1.33353934,36.01241922,6.54107055,0.03809495,24.77730934,1532,0.05,"NYC",576,206,9,0,205,1
"36005005200",96,268017,262688,0,4,2,3,1,0,17,1253,395,23,9.41874537,0.35685529,3.65e-05,0.27202275,1.37446489,1.99828524,NA,32.55396651,8.848087,1693.391117,NA,1.20227499,64.67236778,3.42701303,0.06098085,21.64996747,2012,0.07,"NYC",479,104,17,1,103,1
"36061014300",374,0,0,0,2,2,0,2,0,12,0,0,25,21.54889303,2.44370499,6.15e-05,0.73862812,1.81514451,4.00000095,NA,9.13288223,1.5667174,4581.500871,NA,16.4156267,88.1116183,6.23832363,0.09390104,26.76849878,25,1.38,"NYC",2590,468,118,2,465,3
