"GEOID","City","STATE_x","COUNTY_x"
"36047014900","NYC","NY","Kings"
"36047015000","NYC","NY","Kings"
"36047015100","NYC","NY","Kings"
"36047015200","NYC","NY","Kings"
"36047015300","NYC","NY","Kings"
"36047015400","NYC","NY","Kings"
"36047015500","NYC","NY","Kings"
"36047015700","NYC","NY","Kings"
"36047015900","NYC","NY","Kings"
"36047016000","NYC","NY","Kings"
"36047016100","NYC","NY","Kings"
"36047016200","NYC","NY","Kings"
"36047016300","NYC","NY","Kings"
"36047016400","NYC","NY","Kings"
"36047016500","NYC","NY","Kings"
"36047016600","NYC","NY","Kings"
"36047016700","NYC","NY","Kings"
"36047016800","NYC","NY","Kings"
"36047016900","NYC","NY","Kings"
"36047017000","NYC","NY","Kings"
"36047017100","NYC","NY","Kings"
"36047017200","NYC","NY","Kings"
"36047017400","NYC","NY","Kings"
"36047017500","NYC","NY","Kings"
"36047017600","NYC","NY","Kings"
"36047017700","NYC","NY","Kings"
"36047017800","NYC","NY","Kings"
"36047017900","NYC","NY","Kings"
"36047018000","NYC","NY","Kings"
"36047018100","NYC","NY","Kings"
"36047018200","NYC","NY","Kings"
"36047018300","NYC","NY","Kings"
"36047018400","NYC","NY","Kings"
"36047018501","NYC","NY","Kings"
"36047018600","NYC","NY","Kings"
"36047018700","NYC","NY","Kings"
"36047018800","NYC","NY","Kings"
"36047019000","NYC","NY","Kings"
"36047019100","NYC","NY","Kings"
"36047019200","NYC","NY","Kings"
"36047019300","NYC","NY","Kings"
"36047019400","NYC","NY","Kings"
"36047019500","NYC","NY","Kings"
"36047019600","NYC","NY","Kings"
"36047019700","NYC","NY","Kings"
"36047019800","NYC","NY","Kings"
"36047019900","NYC","NY","Kings"
"36047020000","NYC","NY","Kings"
"36047020100","NYC","NY","Kings"
"36047020200","NYC","NY","Kings"
"36047020300","NYC","NY","Kings"
"36047020400","NYC","NY","Kings"
"36047020500","NYC","NY","Kings"
"36047020600","NYC","NY","Kings"
"36047020700","NYC","NY","Kings"
"36047020800","NYC","NY","Kings"
"36047021000","NYC","NY","Kings"
"36047021100","NYC","NY","Kings"
"36047021200","NYC","NY","Kings"
"36047021300","NYC","NY","Kings"
"36047021400","NYC","NY","Kings"
"36047021500","NYC","NY","Kings"
"36047021600","NYC","NY","Kings"
"36047021700","NYC","NY","Kings"
"36047021800","NYC","NY","Kings"
"36047021900","NYC","NY","Kings"
"36047022000","NYC","NY","Kings"
"36047022100","NYC","NY","Kings"
"36047022200","NYC","NY","Kings"
"36047022400","NYC","NY","Kings"
"36047022600","NYC","NY","Kings"
"36047022700","NYC","NY","Kings"
"36047022800","NYC","NY","Kings"
"36047022900","NYC","NY","Kings"
"36047023000","NYC","NY","Kings"
"36047023100","NYC","NY","Kings"
"36047023200","NYC","NY","Kings"
"36047023300","NYC","NY","Kings"
"36047023400","NYC","NY","Kings"
"36047023500","NYC","NY","Kings"
"36047023600","NYC","NY","Kings"
"36047023800","NYC","NY","Kings"
"36047024000","NYC","NY","Kings"
"36047024100","NYC","NY","Kings"
"36047024200","NYC","NY","Kings"
