"City","GEOID","Collisions","CasualtiesCount","TotalInjuries","TotalDeaths","PedeCasualtiesCount","PedeInjuries","PedeDeaths","CyclCasualtiesCount","CyclInjuries","CyclDeaths","MotrCasualtiesCount","MotrInjuries","MotrDeaths"
"LA","6037296220",111,26,26,0,16,16,0,5,5,0,5,5,0
"LA","6037296300",112,20,20,0,11,11,0,3,3,0,6,6,0
"LA","6037296401",104,11,11,0,3,3,0,4,4,0,4,4,0
"LA","6037296402",60,8,8,0,7,7,0,1,1,0,0,0,0
"LA","6037296500",202,44,41,3,21,20,1,8,8,0,15,13,2
"LA","6037296600",551,129,128,1,69,68,1,26,26,0,34,34,0
"LA","6037296901",179,43,43,0,29,29,0,8,8,0,6,6,0
"LA","6037296902",149,41,40,1,25,24,1,14,14,0,2,2,0
"LA","6037297000",96,15,15,0,12,12,0,1,1,0,2,2,0
"LA","6037297110",100,18,18,0,11,11,0,6,6,0,1,1,0
"LA","6037297120",41,3,3,0,2,2,0,1,1,0,0,0,0
"LA","6037297201",134,30,30,0,15,15,0,7,7,0,8,8,0
"LA","6037297202",61,10,10,0,8,8,0,0,0,0,2,2,0
"LA","6037297300",37,3,3,0,1,1,0,2,2,0,0,0,0
"LA","6037297400",79,11,9,2,4,4,0,0,0,0,7,5,2
"LA","6037297500",145,15,15,0,10,10,0,3,3,0,2,2,0
"LA","6037297601",32,2,2,0,1,1,0,1,1,0,0,0,0
"LA","6037297602",59,9,7,2,5,4,1,2,2,0,2,1,1
"LA","6037300400",10,1,1,0,0,0,0,0,0,0,1,1,0
"LA","6037302104",1,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037302505",3,1,1,0,0,0,0,1,1,0,0,0,0
"LA","6037310400",2,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037310900",1,1,1,0,0,0,0,0,0,0,1,1,0
"LA","6037311600",1,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037320300",6,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037404301",2,2,2,0,1,1,0,1,1,0,0,0,0
"LA","6037480704",1,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037504102",1,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037531101",1,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037532400",60,7,7,0,2,2,0,2,2,0,3,3,0
