"GEOID","pop_dens","race_white","race_minority","female","age_genz","age_millenial","age_genx","age_boomer","age_retiree","divsep","widowed","median_age","not_us_citizen","median_earnings","trav_cars","trav_trans","trav_motorcycle","trav_bike","trav_walk","trav_home","edu_lowedu","edu_hsged","edu_bs","edu_grad","unemp","below_pov","City","Collisions","Casualties","PedeInjuries","PedeDeaths","TotalInjuries","TotalDeaths"
"36081015700",30160,610,898,584,259,555,455,170,69,203,59,33.7,489,31412,90,545,0,35,71,28,91,412,195,139,54,359,"NYC",487,169,22,0,169,0
"36085017600",3611.36363636364,4356,411,2326,884,960,1245,1526,152,271,218,44.2,108,51104,1708,485,0,0,27,41,177,1097,953,360,114,196,"NYC",433,110,8,2,106,4
"36081100802",23894.8717948718,2273,7046,4857,3169,2111,2005,1570,464,883,199,29,1169,28953,2063,1460,0,0,172,75,408,2154,726,482,413,1576,"NYC",737,235,63,1,234,1
"36047082400",54512.5,110,4251,2386,1141,1199,1205,625,191,413,232,31.9,909,32128,321,1314,0,0,83,27,166,1648,427,86,306,905,"NYC",412,100,25,0,99,1
"36081080301",41041.6666666667,750,4175,2641,864,1616,1295,908,242,364,207,34.7,1560,26183,1025,859,13,10,87,22,300,1539,326,122,123,698,"NYC",660,157,18,0,157,0
"36047038300",62842.8571428571,236,4163,2506,1097,1205,1000,832,265,434,213,34.2,296,42207,372,1512,0,61,100,45,87,1163,816,173,157,605,"NYC",232,56,12,1,55,1
"36081040500",65820,6,3285,1439,843,1086,1040,236,86,217,71,29.3,1678,20343,90,1255,0,25,123,48,225,733,20,44,118,863,"NYC",296,82,30,1,81,1
"36047069200",41171.4285714286,267,2615,1557,753,733,820,482,94,255,75,33.3,370,41631,773,620,0,0,47,5,83,768,368,190,113,37,"NYC",250,81,13,0,81,0
"36061012800",84228.5714285714,5194,702,3092,1036,493,1341,2121,905,486,425,55.7,322,101865,412,1306,0,0,648,312,0,636,1655,1438,214,353,"NYC",779,103,40,1,102,1
"36081014300",84100,2045,2160,2129,593,1536,1178,735,163,296,146,34.7,1008,34786,539,1423,0,7,294,122,106,1009,859,327,165,567,"NYC",378,89,20,1,88,1
